===== TRAIN HARD U-NET =====
[train] ep0 step2200 loss=0.1439 l1=0.0810
[train] ep0 step2220 loss=0.0959 l1=0.0570
[train] ep0 step2240 loss=0.0945 l1=0.0522
[train] ep0 step2260 loss=0.1765 l1=0.1039
[train] ep0 step2280 loss=0.1509 l1=0.0774
[train] ep0 step2300 loss=0.0925 l1=0.0488
[train] ep0 step2320 loss=0.0995 l1=0.0530
[train] ep0 step2340 loss=0.1198 l1=0.0754
[train] ep0 step2360 loss=0.1075 l1=0.0559
[train] ep0 step2380 loss=0.0845 l1=0.0440
[train] ep0 step2400 loss=0.1629 l1=0.0820
[train] ep0 step2420 loss=0.0929 l1=0.0631
[train] ep0 step2440 loss=0.0827 l1=0.0488
[train] ep0 step2460 loss=0.1180 l1=0.0822
[train] ep0 step2480 loss=0.1285 l1=0.0699
[train] ep0 step2500 loss=0.0813 l1=0.0519
[train] ep0 step2520 loss=0.1254 l1=0.0704
[train] ep0 step2540 loss=0.0902 l1=0.0431
[train] ep0 step2560 loss=0.0722 l1=0.0381
[train] ep0 step2580 loss=0.0993 l1=0.0633
[train] ep0 step2600 loss=0.0980 l1=0.0523
[train] ep0 step2620 loss=0.0679 l1=0.0410
[train] ep0 step2640 loss=0.0982 l1=0.0536
[train] ep0 step2660 loss=0.1005 l1=0.0564
[train] ep0 step2680 loss=0.0823 l1=0.0552
[train] ep0 step2700 loss=0.0829 l1=0.0458
[train] ep0 step2720 loss=0.1041 l1=0.0662
[train] ep0 step2740 loss=0.0992 l1=0.0683
[train] ep0 step2760 loss=0.1020 l1=0.0615
[train] ep0 step2780 loss=0.1056 l1=0.0620
[train] ep0 step2800 loss=0.1034 l1=0.0665
[train] ep0 step2820 loss=0.1701 l1=0.1026
[train] ep0 step2840 loss=0.0999 l1=0.0587
[train] ep0 step2860 loss=0.1001 l1=0.0555
[train] ep0 step2880 loss=0.1296 l1=0.0735
[train] ep0 step2900 loss=0.1191 l1=0.0599
[train] ep0 step2920 loss=0.0575 l1=0.0471
[train] ep0 step2940 loss=0.0896 l1=0.0651
[train] ep0 step2960 loss=0.1096 l1=0.0618
[train] ep0 step2980 loss=0.1011 l1=0.0608
[train] ep0 step3000 loss=0.0961 l1=0.0636
[train] ep0 step3020 loss=0.1197 l1=0.0680
[train] ep0 step3040 loss=0.1154 l1=0.0622
[train] ep0 step3060 loss=0.0991 l1=0.0520
[train] ep0 step3080 loss=0.0546 l1=0.0274
[train] ep0 step3100 loss=0.1029 l1=0.0636
[train] ep0 step3120 loss=0.0713 l1=0.0403
[train] ep0 step3140 loss=0.1323 l1=0.0902
[train] ep0 step3160 loss=0.0747 l1=0.0469
[train] ep0 step3180 loss=0.0928 l1=0.0530
[train] ep0 step3200 loss=0.0897 l1=0.0520
[train] ep0 step3220 loss=0.0761 l1=0.0419
[train] ep0 step3240 loss=0.0720 l1=0.0455
[train] ep0 step3260 loss=0.0851 l1=0.0546
[train] ep0 step3280 loss=0.1398 l1=0.0864
[train] ep0 step3300 loss=0.0859 l1=0.0542
[train] ep0 step3320 loss=0.1318 l1=0.0892
[train] ep0 step3340 loss=0.0894 l1=0.0414
[train] ep0 step3360 loss=0.1018 l1=0.0543
[train] ep0 step3380 loss=0.1423 l1=0.0711
[train] ep0 step3400 loss=0.0921 l1=0.0562
[train] ep0 step3420 loss=0.1068 l1=0.0586
[train] ep0 step3440 loss=0.1126 l1=0.0761
[train] ep0 step3460 loss=0.1342 l1=0.0732
[train] ep0 step3480 loss=0.0687 l1=0.0418
[train] ep0 step3500 loss=0.0958 l1=0.0684
[train] ep0 step3520 loss=0.1005 l1=0.0573
[train] ep0 step3540 loss=0.1528 l1=0.0919
[train] ep0 step3560 loss=0.0546 l1=0.0401
[train] ep0 step3580 loss=0.0999 l1=0.0733
[train] ep0 step3600 loss=0.1105 l1=0.0629
[train] ep0 step3620 loss=0.0750 l1=0.0465
[train] ep0 step3640 loss=0.1173 l1=0.0792
[train] ep0 step3660 loss=0.1374 l1=0.0748
[train] ep0 step3680 loss=0.1037 l1=0.0560
[train] ep0 step3700 loss=0.0594 l1=0.0361
[train] ep0 step3720 loss=0.0948 l1=0.0513
[train] ep0 step3740 loss=0.1821 l1=0.0902
[train] ep0 step3760 loss=0.1654 l1=0.1029
[train] ep0 step3780 loss=0.1065 l1=0.0610
[train] ep0 step3800 loss=0.1059 l1=0.0694
[train] ep0 step3820 loss=0.0692 l1=0.0461
[train] ep0 step3840 loss=0.1066 l1=0.0683
[train] ep0 step3860 loss=0.0826 l1=0.0455
[train] ep0 step3880 loss=0.0859 l1=0.0515
[train] ep0 step3900 loss=0.0981 l1=0.0532
[train] ep0 step3920 loss=0.1610 l1=0.0839
[train] ep0 step3940 loss=0.0887 l1=0.0597
[train] ep0 step3960 loss=0.1270 l1=0.0675
[train] ep0 step3980 loss=0.1334 l1=0.0825
[train] ep0 step4000 loss=0.0968 l1=0.0504
[train] ep0 step4020 loss=0.1249 l1=0.0662
[train] ep0 step4040 loss=0.1332 l1=0.0787
[train] ep0 step4060 loss=0.1076 l1=0.0653
[train] ep0 step4080 loss=0.0779 l1=0.0396
[train] ep0 step4100 loss=0.1126 l1=0.0569
[train] ep0 step4120 loss=0.0762 l1=0.0507
[train] ep0 step4140 loss=0.1463 l1=0.0843
[train] ep0 step4160 loss=0.1137 l1=0.0647
[train] ep0 step4180 loss=0.0951 l1=0.0558
[train] ep0 step4200 loss=0.0973 l1=0.0541
[train] ep0 step4220 loss=0.1300 l1=0.0693
[train] ep0 step4240 loss=0.0708 l1=0.0491
[train] ep0 step4260 loss=0.1037 l1=0.0600
[train] ep0 step4280 loss=0.0871 l1=0.0554
[train] ep0 step4300 loss=0.0786 l1=0.0565
[train] ep0 step4320 loss=0.1185 l1=0.0640
[train] ep0 step4340 loss=0.0644 l1=0.0476
[train] ep0 step4360 loss=0.0923 l1=0.0639
[train] ep0 step4380 loss=0.1290 l1=0.0782
[train] ep0 step4400 loss=0.0858 l1=0.0495
[train] ep0 step4420 loss=0.1208 l1=0.0763
[train] ep0 step4440 loss=0.1148 l1=0.0677
[train] ep0 step4460 loss=0.0852 l1=0.0570
[train] ep0 step4480 loss=0.0620 l1=0.0450
[train] ep0 step4500 loss=0.1167 l1=0.0773
[train] ep0 step4520 loss=0.0701 l1=0.0420
[train] ep0 step4540 loss=0.0887 l1=0.0523
[train] ep0 step4560 loss=0.1264 l1=0.0671
[train] ep0 step4580 loss=0.1393 l1=0.0698
[train] ep0 step4600 loss=0.0953 l1=0.0579
[train] ep0 step4620 loss=0.1413 l1=0.0876
[train] ep0 step4640 loss=0.1050 l1=0.0567
[train] ep0 step4660 loss=0.0662 l1=0.0319
[train] ep0 step4680 loss=0.0703 l1=0.0392
[train] ep0 step4700 loss=0.0953 l1=0.0627
[train] ep0 step4720 loss=0.1297 l1=0.0745
[train] ep0 step4740 loss=0.0876 l1=0.0604
[train] ep0 step4760 loss=0.0738 l1=0.0514
[train] ep0 step4780 loss=0.0875 l1=0.0510
[train] ep0 step4800 loss=0.1244 l1=0.0526
[train] ep0 step4820 loss=0.0835 l1=0.0401
[train] ep0 step4840 loss=0.1067 l1=0.0569
[train] ep0 step4860 loss=0.0959 l1=0.0517
[train] ep0 step4880 loss=0.1374 l1=0.0677
[train] ep0 step4900 loss=0.0926 l1=0.0522
[train] ep0 step4920 loss=0.0468 l1=0.0260
[train] ep0 step4940 loss=0.0949 l1=0.0585
[train] ep0 step4960 loss=0.0936 l1=0.0427
[train] ep0 step4980 loss=0.0908 l1=0.0648
[train] ep0 step5000 loss=0.1072 l1=0.0644
[train] ep0 step5020 loss=0.0706 l1=0.0476
[train] ep0 step5040 loss=0.0969 l1=0.0638
[train] ep0 step5060 loss=0.1132 l1=0.0604
[train] ep0 step5080 loss=0.0839 l1=0.0466
[train] ep0 step5100 loss=0.1725 l1=0.0887
[train] ep0 step5120 loss=0.0866 l1=0.0622
[train] ep0 step5140 loss=0.1761 l1=0.1085
[train] ep0 step5160 loss=0.1128 l1=0.0685
[train] ep0 step5180 loss=0.0675 l1=0.0362
[train] ep0 step5200 loss=0.0615 l1=0.0392
[train] ep0 step5220 loss=0.0972 l1=0.0646
