===== TRAIN MASKED COMPLETION DDPM 10K =====
[train-ddpm] training degradation filter=['mask_dropout', 'mixed_structured', 'lowfreq_atmospheric_bias', 'blur_downsample_upsample'] probs={'blur_downsample_upsample': 0.18, 'lowfreq_atmospheric_bias': 0.18, 'mixed_structured': 0.2, 'mask_dropout': 0.07}
[train-ddpm] validation degradation filter=['mask_dropout', 'mixed_structured', 'lowfreq_atmospheric_bias', 'blur_downsample_upsample'] probs={'blur_downsample_upsample': 0.18, 'lowfreq_atmospheric_bias': 0.18, 'mixed_structured': 0.2, 'mask_dropout': 0.07}
[train-ddpm] degradation_profile=hard  types=['blur_downsample_upsample', 'lowfreq_atmospheric_bias', 'mixed_structured', 'mask_dropout']
[train-ddpm] ep0 step900 masked_mse_eps=0.1033 mask_only=0.1033 mask_area_fraction=1.0000
[train-ddpm] ep0 step920 masked_mse_eps=0.3081 mask_only=0.3081 mask_area_fraction=1.0000
[train-ddpm] ep0 step940 masked_mse_eps=0.1572 mask_only=0.1572 mask_area_fraction=1.0000
[train-ddpm] ep0 step960 masked_mse_eps=0.1346 mask_only=0.1346 mask_area_fraction=1.0000
[train-ddpm] ep0 step980 masked_mse_eps=0.0491 mask_only=0.0491 mask_area_fraction=1.0000
[train-ddpm] ep0 step1000 masked_mse_eps=0.1324 mask_only=0.1324 mask_area_fraction=1.0000
[train-ddpm] ep0 step1020 masked_mse_eps=0.0524 mask_only=0.0524 mask_area_fraction=1.0000
[train-ddpm] ep0 step1040 masked_mse_eps=0.0334 mask_only=0.0334 mask_area_fraction=1.0000
[train-ddpm] ep0 step1060 masked_mse_eps=0.0561 mask_only=0.0561 mask_area_fraction=1.0000
[train-ddpm] ep0 step1080 masked_mse_eps=0.0765 mask_only=0.0769 mask_area_fraction=0.5374
[train-ddpm] ep0 step1100 masked_mse_eps=0.7813 mask_only=0.8117 mask_area_fraction=0.5456
[train-ddpm] ep0 step1120 masked_mse_eps=0.0875 mask_only=0.0875 mask_area_fraction=1.0000
[train-ddpm] ep0 step1140 masked_mse_eps=0.0485 mask_only=0.0485 mask_area_fraction=1.0000
[train-ddpm] ep0 step1160 masked_mse_eps=0.1067 mask_only=0.1093 mask_area_fraction=0.5974
[train-ddpm] ep0 step1180 masked_mse_eps=0.0629 mask_only=0.0629 mask_area_fraction=1.0000
[train-ddpm] ep0 step1200 masked_mse_eps=0.0562 mask_only=0.0562 mask_area_fraction=1.0000
[train-ddpm] ep0 step1220 masked_mse_eps=0.0771 mask_only=0.0771 mask_area_fraction=1.0000
[train-ddpm] ep0 step1240 masked_mse_eps=0.0465 mask_only=0.0465 mask_area_fraction=1.0000
[train-ddpm] ep0 step1260 masked_mse_eps=0.0391 mask_only=0.0391 mask_area_fraction=1.0000
[train-ddpm] ep0 step1280 masked_mse_eps=0.0893 mask_only=0.0893 mask_area_fraction=1.0000
[train-ddpm] ep0 step1300 masked_mse_eps=0.0266 mask_only=0.0266 mask_area_fraction=1.0000
[train-ddpm] ep0 step1320 masked_mse_eps=0.1079 mask_only=0.1079 mask_area_fraction=1.0000
[train-ddpm] ep0 step1340 masked_mse_eps=0.0262 mask_only=0.0262 mask_area_fraction=1.0000
[train-ddpm] ep0 step1360 masked_mse_eps=0.0603 mask_only=0.0603 mask_area_fraction=1.0000
[train-ddpm] ep0 step1380 masked_mse_eps=0.0698 mask_only=0.0718 mask_area_fraction=0.5135
[train-ddpm] ep0 step1400 masked_mse_eps=0.2156 mask_only=0.2156 mask_area_fraction=1.0000
[train-ddpm] ep0 step1420 masked_mse_eps=0.0419 mask_only=0.0418 mask_area_fraction=0.5724
[train-ddpm] ep0 step1440 masked_mse_eps=0.0699 mask_only=0.0699 mask_area_fraction=1.0000
[train-ddpm] ep0 step1460 masked_mse_eps=0.0698 mask_only=0.0698 mask_area_fraction=1.0000
[train-ddpm] ep0 step1480 masked_mse_eps=0.1396 mask_only=0.1396 mask_area_fraction=1.0000
[train-ddpm] ep0 step1500 masked_mse_eps=0.2351 mask_only=0.2351 mask_area_fraction=1.0000
[train-ddpm] ep0 step1520 masked_mse_eps=0.0675 mask_only=0.0675 mask_area_fraction=1.0000
[train-ddpm] ep0 step1540 masked_mse_eps=0.0405 mask_only=0.0405 mask_area_fraction=1.0000
[train-ddpm] ep0 step1560 masked_mse_eps=0.1456 mask_only=0.1456 mask_area_fraction=1.0000
[train-ddpm] ep0 step1580 masked_mse_eps=0.0366 mask_only=0.0335 mask_area_fraction=0.5176
[train-ddpm] ep0 step1600 masked_mse_eps=0.0637 mask_only=0.0637 mask_area_fraction=1.0000
[train-ddpm] ep0 step1620 masked_mse_eps=0.1615 mask_only=0.1672 mask_area_fraction=0.5487
[train-ddpm] ep0 step1640 masked_mse_eps=0.0639 mask_only=0.0639 mask_area_fraction=1.0000
[train-ddpm] ep0 step1660 masked_mse_eps=0.1353 mask_only=0.1353 mask_area_fraction=1.0000
[train-ddpm] ep0 step1680 masked_mse_eps=0.0682 mask_only=0.0682 mask_area_fraction=1.0000
[train-ddpm] ep0 step1700 masked_mse_eps=0.0335 mask_only=0.0338 mask_area_fraction=0.5998
[train-ddpm] ep0 step1720 masked_mse_eps=0.0276 mask_only=0.0274 mask_area_fraction=0.5736
[train-ddpm] ep0 step1740 masked_mse_eps=0.1358 mask_only=0.1358 mask_area_fraction=1.0000
[train-ddpm] ep0 step1760 masked_mse_eps=0.1450 mask_only=0.1450 mask_area_fraction=1.0000
[train-ddpm] ep0 step1780 masked_mse_eps=0.0226 mask_only=0.0226 mask_area_fraction=1.0000
[train-ddpm] ep0 step1800 masked_mse_eps=0.1609 mask_only=0.1609 mask_area_fraction=1.0000
[train-ddpm] ep0 step1820 masked_mse_eps=0.1558 mask_only=0.1609 mask_area_fraction=0.5624
[train-ddpm] ep0 step1840 masked_mse_eps=0.0200 mask_only=0.0200 mask_area_fraction=1.0000
[train-ddpm] ep0 step1860 masked_mse_eps=0.0256 mask_only=0.0256 mask_area_fraction=1.0000
[train-ddpm] ep0 step1880 masked_mse_eps=0.1222 mask_only=0.1222 mask_area_fraction=1.0000
[train-ddpm] ep0 step1900 masked_mse_eps=0.4427 mask_only=0.4427 mask_area_fraction=1.0000
[train-ddpm] ep0 step1920 masked_mse_eps=0.0430 mask_only=0.0430 mask_area_fraction=1.0000
[train-ddpm] ep0 step1940 masked_mse_eps=0.0920 mask_only=0.0920 mask_area_fraction=1.0000
[train-ddpm] ep0 step1960 masked_mse_eps=0.1300 mask_only=0.1300 mask_area_fraction=1.0000
[train-ddpm] ep0 step1980 masked_mse_eps=0.0195 mask_only=0.0195 mask_area_fraction=1.0000
[train-ddpm] ep0 step2000 masked_mse_eps=0.0462 mask_only=0.0462 mask_area_fraction=1.0000
[train-ddpm] ep0 step2020 masked_mse_eps=0.1061 mask_only=0.1061 mask_area_fraction=1.0000
[train-ddpm] ep0 step2040 masked_mse_eps=0.0391 mask_only=0.0391 mask_area_fraction=1.0000
[train-ddpm] ep0 step2060 masked_mse_eps=0.0200 mask_only=0.0200 mask_area_fraction=1.0000
[train-ddpm] ep0 step2080 masked_mse_eps=0.2010 mask_only=0.2010 mask_area_fraction=1.0000
[train-ddpm] ep0 step2100 masked_mse_eps=0.2375 mask_only=0.2375 mask_area_fraction=1.0000
[train-ddpm] ep0 step2120 masked_mse_eps=0.0335 mask_only=0.0335 mask_area_fraction=1.0000
[train-ddpm] ep0 step2140 masked_mse_eps=0.0389 mask_only=0.0389 mask_area_fraction=1.0000
[train-ddpm] ep0 step2160 masked_mse_eps=0.3400 mask_only=0.3400 mask_area_fraction=1.0000
[train-ddpm] ep0 step2180 masked_mse_eps=0.1501 mask_only=0.1501 mask_area_fraction=1.0000
[train-ddpm] ep0 step2200 masked_mse_eps=0.5779 mask_only=0.5779 mask_area_fraction=1.0000
[train-ddpm] ep0 step2220 masked_mse_eps=0.1371 mask_only=0.1371 mask_area_fraction=1.0000
[train-ddpm] ep0 step2240 masked_mse_eps=0.2110 mask_only=0.2180 mask_area_fraction=0.5346
[train-ddpm] ep0 step2260 masked_mse_eps=0.0525 mask_only=0.0525 mask_area_fraction=1.0000
[train-ddpm] ep0 step2280 masked_mse_eps=0.2330 mask_only=0.2426 mask_area_fraction=0.5275
[train-ddpm] ep0 step2300 masked_mse_eps=0.0477 mask_only=0.0477 mask_area_fraction=1.0000
[train-ddpm] ep0 step2320 masked_mse_eps=0.2291 mask_only=0.2291 mask_area_fraction=1.0000
[train-ddpm] ep0 step2340 masked_mse_eps=0.1068 mask_only=0.1068 mask_area_fraction=1.0000
[train-ddpm] ep0 step2360 masked_mse_eps=0.0582 mask_only=0.0582 mask_area_fraction=1.0000
[train-ddpm] ep0 step2380 masked_mse_eps=0.0214 mask_only=0.0214 mask_area_fraction=1.0000
[train-ddpm] ep0 step2400 masked_mse_eps=0.1109 mask_only=0.1109 mask_area_fraction=1.0000
[train-ddpm] ep0 step2420 masked_mse_eps=0.0458 mask_only=0.0611 mask_area_fraction=0.0732
[train-ddpm] ep0 step2440 masked_mse_eps=0.4333 mask_only=0.4509 mask_area_fraction=0.5374
[train-ddpm] ep0 step2460 masked_mse_eps=0.0711 mask_only=0.0711 mask_area_fraction=1.0000
[train-ddpm] ep0 step2480 masked_mse_eps=0.1796 mask_only=0.1796 mask_area_fraction=1.0000
[train-ddpm] ep0 step2500 masked_mse_eps=0.0221 mask_only=0.0221 mask_area_fraction=1.0000
[train-ddpm] ep0 step2520 masked_mse_eps=0.5805 mask_only=0.5940 mask_area_fraction=0.6313
[train-ddpm] ep0 step2540 masked_mse_eps=0.0585 mask_only=0.0585 mask_area_fraction=1.0000
[train-ddpm] ep0 step2560 masked_mse_eps=0.0682 mask_only=0.0694 mask_area_fraction=0.6273
[train-ddpm] ep0 step2580 masked_mse_eps=0.0486 mask_only=0.0486 mask_area_fraction=1.0000
[train-ddpm] ep0 step2600 masked_mse_eps=0.0597 mask_only=0.0597 mask_area_fraction=1.0000
[train-ddpm] ep0 step2620 masked_mse_eps=0.1985 mask_only=0.1985 mask_area_fraction=1.0000
[train-ddpm] ep0 step2640 masked_mse_eps=0.0941 mask_only=0.0941 mask_area_fraction=1.0000
[train-ddpm] ep0 step2660 masked_mse_eps=0.0334 mask_only=0.0334 mask_area_fraction=1.0000
[train-ddpm] ep0 step2680 masked_mse_eps=0.3196 mask_only=0.3196 mask_area_fraction=1.0000
[train-ddpm] ep0 step2700 masked_mse_eps=0.0797 mask_only=0.0797 mask_area_fraction=1.0000
[train-ddpm] ep0 step2720 masked_mse_eps=0.0926 mask_only=0.0926 mask_area_fraction=1.0000
[train-ddpm] ep0 step2740 masked_mse_eps=0.2058 mask_only=0.2058 mask_area_fraction=1.0000
[train-ddpm] ep0 step2760 masked_mse_eps=0.0379 mask_only=0.0379 mask_area_fraction=1.0000
[train-ddpm] ep0 step2780 masked_mse_eps=0.0273 mask_only=0.0273 mask_area_fraction=1.0000
[train-ddpm] ep0 step2800 masked_mse_eps=0.2062 mask_only=0.2062 mask_area_fraction=1.0000
[train-ddpm] ep0 step2820 masked_mse_eps=0.0248 mask_only=0.0248 mask_area_fraction=1.0000
[train-ddpm] ep0 step2840 masked_mse_eps=0.0440 mask_only=0.0448 mask_area_fraction=0.6323
[train-ddpm] ep0 step2860 masked_mse_eps=0.0772 mask_only=0.0772 mask_area_fraction=1.0000
[train-ddpm] ep0 step2880 masked_mse_eps=0.1039 mask_only=0.1039 mask_area_fraction=1.0000
[train-ddpm] ep0 step2900 masked_mse_eps=0.0289 mask_only=0.0289 mask_area_fraction=1.0000
[train-ddpm] ep0 step2920 masked_mse_eps=0.1387 mask_only=0.1387 mask_area_fraction=1.0000
[train-ddpm] ep0 step2940 masked_mse_eps=0.1185 mask_only=0.1185 mask_area_fraction=1.0000
[train-ddpm] ep0 step2960 masked_mse_eps=0.0547 mask_only=0.0547 mask_area_fraction=1.0000
[train-ddpm] ep0 step2980 masked_mse_eps=0.0858 mask_only=0.0858 mask_area_fraction=1.0000
[train-ddpm] ep0 step3000 masked_mse_eps=0.1225 mask_only=0.1225 mask_area_fraction=1.0000
[train-ddpm] ep0 step3020 masked_mse_eps=0.0699 mask_only=0.0699 mask_area_fraction=1.0000
[train-ddpm] ep0 step3040 masked_mse_eps=0.0504 mask_only=0.0504 mask_area_fraction=1.0000
[train-ddpm] ep0 step3060 masked_mse_eps=0.2974 mask_only=0.2974 mask_area_fraction=1.0000
[train-ddpm] ep0 step3080 masked_mse_eps=0.1602 mask_only=0.1660 mask_area_fraction=0.5513
[train-ddpm] ep0 step3100 masked_mse_eps=0.0540 mask_only=0.0540 mask_area_fraction=1.0000
[train-ddpm] ep0 step3120 masked_mse_eps=0.0207 mask_only=0.0207 mask_area_fraction=1.0000
[train-ddpm] ep0 step3140 masked_mse_eps=0.0219 mask_only=0.0219 mask_area_fraction=1.0000
[train-ddpm] ep0 step3160 masked_mse_eps=0.0931 mask_only=0.0931 mask_area_fraction=1.0000
[train-ddpm] ep0 step3180 masked_mse_eps=0.1063 mask_only=0.1063 mask_area_fraction=1.0000
[train-ddpm] ep0 step3200 masked_mse_eps=0.1634 mask_only=0.1698 mask_area_fraction=0.5401
[train-ddpm] ep0 step3220 masked_mse_eps=0.0434 mask_only=0.0434 mask_area_fraction=1.0000
[train-ddpm] ep0 step3240 masked_mse_eps=0.2017 mask_only=0.2017 mask_area_fraction=1.0000
[train-ddpm] ep0 step3260 masked_mse_eps=0.5693 mask_only=0.5911 mask_area_fraction=0.5576
[train-ddpm] ep0 step3280 masked_mse_eps=0.0228 mask_only=0.0227 mask_area_fraction=0.5440
[train-ddpm] ep0 step3300 masked_mse_eps=0.1510 mask_only=0.1510 mask_area_fraction=1.0000
[train-ddpm] ep0 step3320 masked_mse_eps=0.0244 mask_only=0.0244 mask_area_fraction=1.0000
[train-ddpm] ep0 step3340 masked_mse_eps=0.0302 mask_only=0.0302 mask_area_fraction=1.0000
[train-ddpm] ep0 step3360 masked_mse_eps=0.1302 mask_only=0.1302 mask_area_fraction=1.0000
[train-ddpm] ep0 step3380 masked_mse_eps=0.0622 mask_only=0.0622 mask_area_fraction=1.0000
[train-ddpm] ep0 step3400 masked_mse_eps=0.1963 mask_only=0.1963 mask_area_fraction=1.0000
[train-ddpm] ep0 step3420 masked_mse_eps=0.1959 mask_only=0.2012 mask_area_fraction=0.6042
[train-ddpm] ep0 step3440 masked_mse_eps=0.0365 mask_only=0.0365 mask_area_fraction=1.0000
[train-ddpm] ep0 step3460 masked_mse_eps=0.1311 mask_only=0.1311 mask_area_fraction=1.0000
[train-ddpm] ep0 step3480 masked_mse_eps=0.0187 mask_only=0.0188 mask_area_fraction=0.6273
[train-ddpm] ep0 step3500 masked_mse_eps=0.0666 mask_only=0.0666 mask_area_fraction=1.0000
[train-ddpm] ep0 step3520 masked_mse_eps=0.0801 mask_only=0.0801 mask_area_fraction=1.0000
[train-ddpm] ep0 step3540 masked_mse_eps=0.0239 mask_only=0.0239 mask_area_fraction=1.0000
[train-ddpm] ep0 step3560 masked_mse_eps=0.5435 mask_only=0.5639 mask_area_fraction=0.5644
[train-ddpm] ep0 step3580 masked_mse_eps=0.2504 mask_only=0.2504 mask_area_fraction=1.0000
[train-ddpm] ep0 step3600 masked_mse_eps=0.0538 mask_only=0.0538 mask_area_fraction=1.0000
[train-ddpm] ep0 step3620 masked_mse_eps=0.0875 mask_only=0.0882 mask_area_fraction=0.5187
[train-ddpm] ep0 step3640 masked_mse_eps=0.0506 mask_only=0.0506 mask_area_fraction=1.0000
[train-ddpm] ep0 step3660 masked_mse_eps=0.1722 mask_only=0.1722 mask_area_fraction=1.0000
[train-ddpm] ep0 step3680 masked_mse_eps=0.0478 mask_only=0.0478 mask_area_fraction=1.0000
[train-ddpm] ep0 step3700 masked_mse_eps=0.1101 mask_only=0.1101 mask_area_fraction=1.0000
[train-ddpm] ep0 step3720 masked_mse_eps=0.2107 mask_only=0.2107 mask_area_fraction=1.0000
[train-ddpm] ep0 step3740 masked_mse_eps=0.2107 mask_only=0.2107 mask_area_fraction=1.0000
[train-ddpm] ep0 step3760 masked_mse_eps=0.0149 mask_only=0.0149 mask_area_fraction=1.0000
[train-ddpm] ep0 step3780 masked_mse_eps=0.0371 mask_only=0.0371 mask_area_fraction=1.0000
[train-ddpm] ep0 step3800 masked_mse_eps=0.3654 mask_only=0.3769 mask_area_fraction=0.5402
[train-ddpm] ep0 step3820 masked_mse_eps=0.0631 mask_only=0.0631 mask_area_fraction=1.0000
[train-ddpm] ep0 step3840 masked_mse_eps=0.0895 mask_only=0.0895 mask_area_fraction=1.0000
[train-ddpm] ep0 step3860 masked_mse_eps=0.1036 mask_only=0.1036 mask_area_fraction=1.0000
[train-ddpm] ep0 step3880 masked_mse_eps=0.0873 mask_only=0.0873 mask_area_fraction=1.0000
[train-ddpm] ep0 step3900 masked_mse_eps=0.0547 mask_only=0.0547 mask_area_fraction=1.0000
[train-ddpm] ep0 step3920 masked_mse_eps=0.0634 mask_only=0.0634 mask_area_fraction=1.0000
[train-ddpm] ep0 step3940 masked_mse_eps=0.1010 mask_only=0.1010 mask_area_fraction=1.0000
[train-ddpm] ep0 step3960 masked_mse_eps=0.0569 mask_only=0.0569 mask_area_fraction=1.0000
[train-ddpm] ep0 step3980 masked_mse_eps=0.0195 mask_only=0.0195 mask_area_fraction=1.0000
[train-ddpm] ep0 step4000 masked_mse_eps=0.0508 mask_only=0.0508 mask_area_fraction=1.0000
[train-ddpm] ep0 step4020 masked_mse_eps=0.4040 mask_only=0.4040 mask_area_fraction=1.0000
[train-ddpm] ep0 step4040 masked_mse_eps=0.0227 mask_only=0.0231 mask_area_fraction=0.6182
[train-ddpm] ep0 step4060 masked_mse_eps=0.0460 mask_only=0.0460 mask_area_fraction=1.0000
[train-ddpm] ep0 step4080 masked_mse_eps=0.1305 mask_only=0.1305 mask_area_fraction=1.0000
[train-ddpm] ep0 step4100 masked_mse_eps=0.2024 mask_only=0.2096 mask_area_fraction=0.5700
[train-ddpm] ep0 step4120 masked_mse_eps=0.0146 mask_only=0.0146 mask_area_fraction=1.0000
[train-ddpm] ep0 step4140 masked_mse_eps=0.0445 mask_only=0.0452 mask_area_fraction=0.5943
[train-ddpm] ep0 step4160 masked_mse_eps=0.2233 mask_only=0.2200 mask_area_fraction=0.6128
[train-ddpm] ep0 step4180 masked_mse_eps=0.1049 mask_only=0.1049 mask_area_fraction=1.0000
[train-ddpm] ep0 step4200 masked_mse_eps=0.0504 mask_only=0.0504 mask_area_fraction=1.0000
[train-ddpm] ep0 step4220 masked_mse_eps=0.1177 mask_only=0.1177 mask_area_fraction=1.0000
[train-ddpm] ep0 step4240 masked_mse_eps=0.0294 mask_only=0.0299 mask_area_fraction=0.5963
[train-ddpm] ep0 step4260 masked_mse_eps=0.0330 mask_only=0.0330 mask_area_fraction=1.0000
[train-ddpm] ep0 step4280 masked_mse_eps=0.0251 mask_only=0.0251 mask_area_fraction=1.0000
